
Water_Level,Flood_Occurrence
5.373103177,1
4.493126664,0
3.205359694,0
4.76990115,0
4.145616324,0
5.452967486,1
2.946920359,0
3.50850678,0
3.41183777,0
1.804727578,0
4.444180416,0
4.391582908,0
4.007670185,0
3.6481193,0
1.876943887,0
3.369032016,0
3.485928225,0
2.796584096,0
3.758071433,0
4.606076285,0
6.829278852,1
4.261866719,0
4.386325586,0
3.888331126,0
1.121843177,0
3.960229187,0
4.090345315,0
7.694863169,1
3.711458553,0
4.452321014,0
3.947932345,0
2.246982944,0
5.714234222,1
5.127899549,1
5.186547921,1
2.635918818,0
6.104191466,1
1.897223406,0
4.880285641,0
7.285683439,1
2.514195512,0
3.150553406,0
4.149477048,0
3.244786519,0
1.674004853,0
4.102844462,0
2.406544429,0
4.710388646,0
2.620863649,0
6.324901608,1
2.825120061,0
3.516907726,0
5.220275826,1
2.153703525,0
4.341189902,0
5.960714131,1
1.588775148,0
4.276950788,0
4.389824191,0
5.172734308,1
2.144573934,0
2.01931508,0
4.782912348,0
4.44547701,0
4.375739276,0
4.519672314,0
2.979962918,0
4.348380546,0
4.43960871,0
2.928472873,0
6.798661767,1
4.710749381,0
2.213044754,0
4.984830413,0
2.537977495,0
5.180626906,1
5.737893369,1
2.768976522,0
5.445064194,1
4.61917139,0
5.23309024,1
6.845189474,1
3.631917826,0
2.869395753,0
2.665728356,0
2.776284573,0
3.884347436,0
4.511727962,0
4.415036199,0
5.240774874,1
4.019502838,0
6.180301116,1
3.60301475,0
8.08025375,1
4.938501022,0
2.714263665,0
2.393661253,0
4.723708623,0
3.664805822,0
5.071000741,1
4.709856437,0
3.890756631,0
2.729809423,0
1.727729163,0
3.330227572,0
5.284598191,1
4.321140616,0
2.131391832,0
4.259771389,0
4.57797607,0
2.674213846,0
4.230587659,0
4.087313078,0
2.285544553,0
4.536681041,0
4.84117679,0
5.624576865,1
5.580703078,1
1.933495948,0
2.59326244,0
4.772552901,0
4.770678926,0
4.772571529,0
9.779097236,1
4.856335766,0
5.70334846,1
5.431002645,1
4.977086877,0
3.527096133,0
5.138453831,1
2.840762178,0
3.64477209,0
3.271954678,0
4.122811209,0
7.47198785,1
1.199102211,0
5.029390286,1
1.580926193,0
3.292102201,0
5.633425895,1
4.096420029,0
2.383382833,0
2.927044436,0
2.869395753,0
2.665728356,0
2.776284573,0
3.884347436,0
4.511727962,0
1.199102211,0
5.029390286,1
1.580926193,0
3.292102201,0
5.633425895,1
4.096420029,0
2.383382833,0
2.927044436,0
5.019396623,1
2.904450052,0
4.324687884,0
4.06835776,0
3.022599479,0
2.869395753,0
2.665728356,0
2.776284573,0
3.884347436,0
4.511727962,0
4.74507123,0
3.792603548,0
4.971532807,0
6.284544785,1
3.648769938,0
3.648794565,0
6.368819223,1
5.151152094,1
3.295788421,0
4.813840065,0
3.304873461,0
3.30140537,0
4.362943407,0
1.130079633,0
1.412623251,0
3.156568706,0
2.480753319,0
4.471370999,0
2.637963887,0
1.881544448,0
6.198473153,1
3.661335549,0
4.101292307,0
1.862877721,0
3.183425913,0
4.166383885,0
2.273509634,0
4.563547028,0
3.099041965,0
3.562459375,0
3.097440082,0
6.778417277,1
3.979754163,0
2.413433607,0
5.233817368,1
2.168734525,0
4.313295393,0
1.060494814,0
2.007720927,0
4.295291854,0
5.10769987,1
4.257052422,0
3.826527576,0
3.548344457,0
1.782217014,0
2.920233687,0
3.309041844,0
5.585683339,1
4.515427434,0
1.355439767,0
4.486125954,0
3.422376579,0
2.984617,0
4.917514433,0
5.546499284,1
5.396920179,1
2.741173715,0
3.536181436,0
4.496895147,0
5.463317691,1
3.281238643,0
3.721511535,0
2.340497539,0
2.205690064,0
5.218788734,1
6.034360043,1
3.891984818,0
5.505299347,1
4.542454038,0
3.032320368,0
4.542093408,0
6.30705485,1
3.946260941,0
6.346965484,1
0.070382344,0
5.232853757,1
4.130570602,0
3.551488974,0
4.137641165,0
1.018646628,0
3.670492168,0
4.535668857,0
6.216841067,1
3.222594673,0
2.787259596,0
3.247364435,0
5.373103177,1
4.493126664,0
3.205359694,0
4.76990115,0
4.145616324,0
5.452967486,1
2.946920359,0
3.50850678,0
3.41183777,0
1.804727578,0
4.444180416,0
4.391582908,0
4.007670185,0
3.6481193,0
1.876943887,0
3.369032016,0
3.485928225,0
2.796584096,0
3.758071433,0
4.606076285,0
6.829278852,1
4.261866719,0
4.386325586,0
3.888331126,0
1.121843177,0
3.960229187,0
4.090345315,0
7.694863169,1
3.711458553,0
4.452321014,0
3.947932345,0
2.246982944,0
5.714234222,1
5.127899549,1
5.186547921,1
2.635918818,0
6.104191466,1
1.897223406,0
4.880285641,0
7.285683439,1
2.514195512,0
3.150553406,0
4.149477048,0
3.244786519,0
1.674004853,0
4.102844462,0
2.406544429,0
4.710388646,0
2.620863649,0
6.324901608,1
2.825120061,0
3.516907726,0
5.220275826,1
2.153703525,0
4.341189902,0
5.960714131,1
1.588775148,0
4.276950788,0
4.389824191,0
5.172734308,1
2.144573934,0
2.01931508,0
4.782912348,0
4.44547701,0
4.375739276,0
4.519672314,0
2.979962918,0
4.348380546,0
4.43960871,0
2.928472873,0
6.798661767,1
4.710749381,0
2.213044754,0
4.984830413,0
2.537977495,0
5.180626906,1
5.737893369,1
2.768976522,0
5.445064194,1
4.61917139,0
5.23309024,1
6.845189474,1
3.631917826,0
2.869395753,0
2.665728356,0
2.776284573,0
3.884347436,0
4.511727962,0
4.415036199,0
5.240774874,1
4.019502838,0
6.180301116,1
3.60301475,0
8.08025375,1
4.938501022,0
2.714263665,0
2.393661253,0
4.723708623,0
3.664805822,0
5.071000741,1
4.709856437,0
3.890756631,0
2.729809423,0
1.727729163,0
3.330227572,0
5.284598191,1
4.321140616,0
2.131391832,0
4.259771389,0
4.57797607,0
2.674213846,0
4.230587659,0
4.087313078,0
2.285544553,0
4.536681041,0
4.84117679,0
5.624576865,1
5.580703078,1
1.933495948,0
2.59326244,0
4.772552901,0
4.770678926,0
4.772571529,0
9.779097236,1
4.856335766,0
5.70334846,1
5.431002645,1
4.977086877,0
3.527096133,0
5.138453831,1
2.840762178,0
3.64477209,0
3.271954678,0
4.122811209,0
7.47198785,1
1.199102211,0
5.029390286,1
1.580926193,0
3.292102201,0
5.633425895,1
4.096420029,0
2.383382833,0
2.927044436,0
5.019396623,1
2.904450052,0
4.324687884,0
4.06835776,0
3.022599479,0
7.215916134,1
4.950878533,0
0.96228612,0
4.279681472,0
3.007320303,0
5.278650002,1
2.811218892,0
3.827895338,0
4.757480918,0
5.298632791,1
2.199555389,0
3.498248146,0
3.287582033,0
3.020006151,0
6.64818136,1
4.607472566,0
2.108674068,0
5.376792921,1
4.745,1
3,0
4.977086877,0
3.527096133,0
5.138453831,1
2.840762178,0
3.64477209,0
3.271954678,0
4.122811209,0
7.47198785,1
1.199102211,0
5.029390286,1
1.580926193,0
3.292102201,0
5.633425895,1
4.096420029,0
2.383382833,0
2.927044436,0
3.648794565,0
6.368819223,1
5.151152094,1
3.295788421,0
4.813840065,0
3.304873461,0
3.30140537,0
4.362943407,0
1.130079633,0
1.412623251,0
3.156568706,0
2.480753319,0
4.471370999,0
2.637963887,0
1.881544448,0
6.198473153,1
3.661335549,0
4.101292307,0
1.862877721,0
3.183425913,0
4.166383885,0
2.273509634,0
4.563547028,0
6.104191466,1
1.897223406,0
4.880285641,0
7.285683439,1
2.514195512,0
3.150553406,0
4.149477048,0
3.244786519,0
1.674004853,0
4.102844462,0
2.406544429,0
4.710388646,0
2.620863649,0
6.324901608,1
2.825120061,0
3.516907726,0
5.220275826,1
2.153703525,0
4.341189902,0
5.960714131,1
1.588775148,0
4.276950788,0
4.389824191,0
5.172734308,1
3.946260941,0
6.346965484,1
0.070382344,0
5.232853757,1
4.130570602,0
3.551488974,0
4.137641165,0
1.018646628,0
3.670492168,0
4.535668857,0
6.216841067,1
3.222594673,0
2.787259596,0
3.247364435,0
5.373103177,1
4.493126664,0
3.205359694,0
4.76990115,0
4.145616324,0
5.452967486,1
2.946920359,0
3.50850678,0
3.41183777,0
1.804727578,0
4.444180416,0
4.391582908,0
4.007670185,0
3.6481193,0
1.876943887,0
3.369032016,0
3.485928225,0
2.796584096,0
3.758071433,0
4.606076285,0
6.829278852,1
4.261866719,0
4.386325586,0
3.888331126,0
1.121843177,0
3.960229187,0
4.090345315,0
7.694863169,1
3.711458553,0
4.452321014,0
3.947932345,0
2.246982944,0
5.714234222,1
5.127899549,1
5.186547921,1
2.635918818,0
6.104191466,1
1.897223406,0
4.880285641,0
7.285683439,1
2.514195512,0
3.150553406,0
4.149477048,0
3.244786519,0
1.674004853,0
4.102844462,0
2.406544429,0
4.710388646,0
2.620863649,0
6.324901608,1
2.825120061,0
3.516907726,0
5.220275826,1
2.153703525,0
4.341189902,0
5.960714131,1
1.588775148,0
4.276950788,0
4.389824191,0
5.172734308,1
2.144573934,0
2.01931508,0
4.782912348,0
4.44547701,0
4.375739276,0
4.519672314,0
2.979962918,0
4.348380546,0
4.43960871,0
2.928472873,0
6.798661767,1
4.710749381,0
2.213044754,0
4.984830413,0
2.537977495,0
5.180626906,1
5.737893369,1
2.768976522,0
5.445064194,1
4.61917139,0
5.23309024,1
6.845189474,1
3.631917826,0
2.869395753,0
2.665728356,0
2.776284573,0
3.884347436,0
4.511727962,0
4.415036199,0
5.240774874,1
4.019502838,0
6.180301116,1
3.60301475,0
8.08025375,1
4.938501022,0
2.714263665,0
2.393661253,0
4.723708623,0
3.664805822,0
5.071000741,1
4.709856437,0
3.890756631,0
2.729809423,0
1.727729163,0
3.330227572,0
5.284598191,1
4.321140616,0
2.131391832,0
4.259771389,0
4.57797607,0
2.674213846,0
4.230587659,0
4.087313078,0
2.285544553,0
4.536681041,0
4.84117679,0
5.624576865,1
5.580703078,1
1.933495948,0
2.59326244,0
4.772552901,0
4.770678926,0
4.772571529,0
9.779097236,1
4.856335766,0
5.70334846,1
5.431002645,1
4.977086877,0
3.527096133,0
5.138453831,1
2.840762178,0
3.64477209,0
3.271954678,0
4.122811209,0
7.47198785,1
1.199102211,0
5.029390286,1
1.580926193,0
3.292102201,0
5.633425895,1
4.096420029,0
2.383382833,0
2.927044436,0
2.869395753,0
2.665728356,0
2.776284573,0
3.884347436,0
4.511727962,0
1.199102211,0
5.029390286,1
1.580926193,0
3.292102201,0
5.633425895,1
4.096420029,0
2.383382833,0
2.927044436,0
5.019396623,1
2.904450052,0
4.324687884,0
4.06835776,0
3.022599479,0
2.869395753,0
2.665728356,0
2.776284573,0
3.884347436,0
4.511727962,0
3.295788421,0
4.813840065,0
3.304873461,0
3.30140537,0
4.362943407,0
1.130079633,0
1.412623251,0
3.156568706,0
2.480753319,0
4.471370999,0
2.637963887,0
1.881544448,0
6.198473153,1
3.661335549,0
4.101292307,0
1.862877721,0
3.183425913,0
4.166383885,0
2.273509634,0
4.563547028,0
3.099041965,0
3.562459375,0
3.097440082,0
6.778417277,1
3.979754163,0
2.413433607,0
5.233817368,1
2.168734525,0
4.313295393,0
1.060494814,0
2.007720927,0
4.295291854,0
5.10769987,1
4.257052422,0
3.826527576,0
3.548344457,0
1.782217014,0
2.920233687,0
3.309041844,0
5.585683339,1
4.515427434,0
1.355439767,0
4.486125954,0
3.422376579,0
2.984617,0
4.917514433,0
5.546499284,1
5.396920179,1
2.741173715,0
3.536181436,0
4.496895147,0
5.463317691,1
3.281238643,0
3.721511535,0
2.340497539,0
2.205690064,0
5.218788734,1
6.034360043,1
3.891984818,0
5.505299347,1
4.542454038,0
3.032320368,0
4.542093408,0
6.30705485,1
3.946260941,0
6.346965484,1
0.070382344,0
5.232853757,1
4.130570602,0
3.551488974,0
4.137641165,0
1.018646628,0
3.670492168,0
4.535668857,0
6.216841067,1
3.222594673,0
2.787259596,0
3.247364435,0
5.373103177,1
4.493126664,0
3.205359694,0
4.76990115,0
4.145616324,0
5.452967486,1
2.946920359,0
3.50850678,0
3.41183777,0
1.804727578,0
4.444180416,0
4.391582908,0
4.007670185,0
3.6481193,0
1.876943887,0
3.369032016,0
3.485928225,0
2.796584096,0
3.758071433,0
4.606076285,0
6.829278852,1
4.261866719,0
4.386325586,0
3.888331126,0
1.121843177,0
3.960229187,0
4.090345315,0
7.694863169,1
3.711458553,0
4.452321014,0
3.947932345,0
2.246982944,0
5.714234222,1
5.127899549,1
5.186547921,1
2.635918818,0
6.104191466,1
1.897223406,0
4.880285641,0
7.285683439,1
2.514195512,0
3.150553406,0
4.149477048,0
3.244786519,0
1.674004853,0
4.102844462,0
2.406544429,0
4.710388646,0
2.620863649,0
6.324901608,1
2.825120061,0
3.516907726,0
5.220275826,1
2.153703525,0
4.341189902,0
5.960714131,1
1.588775148,0
4.276950788,0
4.389824191,0
5.172734308,1
2.144573934,0
2.01931508,0
4.782912348,0
4.44547701,0
4.375739276,0
4.519672314,0
2.979962918,0
4.348380546,0
4.43960871,0
2.928472873,0
6.798661767,1
4.710749381,0
2.213044754,0
4.984830413,0
2.537977495,0
5.180626906,1
5.737893369,1
2.768976522,0
5.445064194,1
4.61917139,0
5.23309024,1
6.845189474,1
3.631917826,0
2.869395753,0
2.665728356,0
2.776284573,0
3.884347436,0
4.511727962,0
4.415036199,0
5.240774874,1
4.019502838,0
6.180301116,1
3.60301475,0
8.08025375,1
4.938501022,0
2.714263665,0
2.393661253,0
4.723708623,0
3.664805822,0
5.071000741,1
4.709856437,0
3.890756631,0
2.729809423,0
1.727729163,0
3.330227572,0
5.284598191,1
4.321140616,0
2.131391832,0
4.259771389,0
4.57797607,0
2.674213846,0
4.230587659,0
4.087313078,0
2.285544553,0
4.536681041,0
4.84117679,0
5.624576865,1
5.580703078,1
1.933495948,0
2.59326244,0
4.772552901,0
4.770678926,0
4.772571529,0
9.779097236,1
4.856335766,0
5.70334846,1
5.431002645,1
4.977086877,0
3.527096133,0
5.138453831,1
2.840762178,0
3.64477209,0
3.271954678,0
4.122811209,0
7.47198785,1
1.199102211,0
5.029390286,1
1.580926193,0
3.292102201,0
5.633425895,1
4.096420029,0
2.383382833,0
2.927044436,0
5.019396623,1
2.904450052,0
4.324687884,0
4.06835776,0
3.022599479,0
7.215916134,1
4.950878533,0
0.96228612,0
4.279681472,0
3.007320303,0
5.278650002,1
2.811218892,0
3.827895338,0
4.757480918,0
5.298632791,1
2.199555389,0
3.498248146,0
3.287582033,0
3.020006151,0
6.64818136,1
4.607472566,0
2.108674068,0
5.376792921,1
4.745,1
3,0
4.977086877,0
3.527096133,0
5.138453831,1
2.840762178,0
3.64477209,0
3.271954678,0
4.122811209,0
7.47198785,1
1.199102211,0
5.029390286,1
1.580926193,0
3.292102201,0
5.633425895,1
4.096420029,0
2.383382833,0
2.927044436,0
3.648794565,0
6.368819223,1
5.151152094,1
3.295788421,0
4.813840065,0
3.304873461,0
3.30140537,0
4.362943407,0
1.130079633,0
1.412623251,0
3.156568706,0
2.480753319,0
4.471370999,0
2.637963887,0
1.881544448,0
6.198473153,1
3.661335549,0
4.101292307,0
1.862877721,0
3.183425913,0
4.166383885,0
2.273509634,0
4.563547028,0
6.104191466,1
1.897223406,0
4.880285641,0
7.285683439,1
2.514195512,0
3.150553406,0
4.149477048,0
3.244786519,0
1.674004853,0
4.102844462,0
2.406544429,0
4.710388646,0
2.620863649,0
6.324901608,1
2.825120061,0
3.516907726,0
5.220275826,1
2.153703525,0
4.341189902,0
5.960714131,1
1.588775148,0
4.276950788,0
4.389824191,0
5.172734308,1
3.946260941,0
6.346965484,1
0.070382344,0
5.232853757,1
4.130570602,0
3.551488974,0
4.137641165,0
1.018646628,0
3.670492168,0
4.535668857,0
6.216841067,1
3.222594673,0
2.787259596,0
3.247364435,0
5.373103177,1
4.493126664,0
3.205359694,0
4.76990115,0
4.145616324,0
5.452967486,1
2.946920359,0
3.50850678,0
3.41183777,0
1.804727578,0
4.444180416,0
4.391582908,0
4.007670185,0
3.6481193,0
1.876943887,0
3.369032016,0
3.485928225,0
2.796584096,0
3.758071433,0
4.606076285,0
6.829278852,1
4.261866719,0
4.386325586,0
3.888331126,0
1.121843177,0
3.960229187,0
4.090345315,0
7.694863169,1
3.711458553,0
4.452321014,0
3.947932345,0
2.246982944,0
5.714234222,1
5.127899549,1
5.186547921,1
2.635918818,0
6.104191466,1
1.897223406,0
4.880285641,0
7.285683439,1
2.514195512,0
3.150553406,0
4.149477048,0
3.244786519,0
1.674004853,0
4.102844462,0
2.406544429,0
4.710388646,0
2.620863649,0
6.324901608,1
2.825120061,0
3.516907726,0
5.220275826,1
2.153703525,0
4.341189902,0
5.960714131,1
1.588775148,0
4.276950788,0
4.389824191,0
5.172734308,1
2.144573934,0
2.01931508,0
4.782912348,0
4.44547701,0
4.375739276,0
4.519672314,0
2.979962918,0
4.348380546,0
4.43960871,0
2.928472873,0
6.798661767,1
4.710749381,0
2.213044754,0
4.984830413,0
2.537977495,0
5.180626906,1
5.737893369,1
2.768976522,0
5.445064194,1
4.61917139,0
5.23309024,1
6.845189474,1
3.631917826,0
2.869395753,0
2.665728356,0
2.776284573,0
3.884347436,0
4.511727962,0
4.415036199,0
5.240774874,1
4.019502838,0
6.180301116,1
3.60301475,0
8.08025375,1
4.938501022,0
2.714263665,0
2.393661253,0
4.723708623,0
3.664805822,0
5.071000741,1
4.709856437,0
3.890756631,0
2.729809423,0
1.727729163,0
3.330227572,0
5.284598191,1
4.321140616,0
2.131391832,0
4.259771389,0
4.57797607,0
2.674213846,0
4.230587659,0
4.087313078,0
2.285544553,0
4.536681041,0
4.84117679,0
5.624576865,1
5.580703078,1
1.933495948,0
2.59326244,0
4.772552901,0
4.770678926,0
4.772571529,0
9.779097236,1
4.856335766,0
5.70334846,1
5.431002645,1
4.977086877,0
3.527096133,0
5.138453831,1
2.840762178,0
3.64477209,0
3.271954678,0
4.122811209,0
7.47198785,1
1.199102211,0
5.029390286,1
1.580926193,0
3.292102201,0
5.633425895,1
4.096420029,0
2.383382833,0
2.927044436,0
2.869395753,0
2.665728356,0
2.776284573,0
3.884347436,0
4.511727962,0
1.199102211,0
5.029390286,1
1.580926193,0
3.292102201,0
5.633425895,1
4.096420029,0
2.383382833,0
2.927044436,0
5.019396623,1
